X;Y;STRUCTYPE
27;75;B
26;75;POLE
26;75;POLE
27;75;MAST
27;75;B
27;75;POLE
27;75;POLE
89;60;TOWER
88;60;TOWER
88;60;TOWER
89;59;TOWER
87;60;TOWER
86;60;TOWER
87;61;TOWER
88;60;TOWER
88;61;TOWER
89;61;TOWER
88;60;TOWER
87;60;TOWER
87;60;TOWER
87;61;TOWER
88;60;TOWER
87;60;TOWER
86;60;TOWER
87;60;TOWER
89;60;TOWER
88;60;TOWER
89;60;TOWER
89;59;POLE
88;60;TOWER
87;60;TOWER
88;61;TOWER
89;59;TOWER
88;57;N/A
88;57;N/A
88;57;N/A
88;57;N/A
88;57;N/A
88;57;N/A
88;57;TOWER
88;57;N/A
88;57;N/A
88;57;N/A
88;57;N/A
88;57;N/A
88;57;N/A
88;57;N/A
88;57;N/A
88;57;N/A
88;57;N/A
88;57;TOWER
88;57;TOWER
88;57;N/A
88;57;POLE
88;57;POLE
88;57;B
88;57;B
88;57;TOWER
88;57;TOWER
88;57;TOWER
88;57;TOWER
88;57;TOWER
88;57;TOWER
88;57;B
88;57;TOWER
88;57;TOWER
88;57;TOWER
88;57;BANT
88;57;POLE
88;57;POLE
88;57;BMAST
88;57;TOWER
78;45;TOWER
78;45;TOWER
78;44;TOWER
78;44;TOWER
78;45;TOWER
77;45;TOWER
78;45;TOWER
78;44;TOWER
78;45;TOWER
78;45;MAST
78;44;TOWER
78;44;TOWER
78;45;TOWER
78;44;TOWER
90;57;N/A
91;57;N/A
90;57;N/A
90;57;N/A
91;57;N/A
91;57;N/A
90;57;N/A
90;57;N/A
91;57;N/A
90;57;N/A
90;57;N/A
90;57;POLE
91;57;MAST
91;57;TOWER
101;55;MAST
101;55;UPOLE
101;55;TOWER
100;55;TOWER
101;55;TOWER
100;55;MAST
101;55;MAST
101;55;TOWER
101;55;MAST
101;55;MAST
100;55;TOWER
100;55;POLE
100;55;POLE
101;55;MAST
101;55;MAST
101;55;POLE
101;55;TANK
101;55;B
20;33;POLE
21;34;MAST
21;34;POLE
20;33;N/A
21;33;N/A
21;33;POLE
21;33;TOWER
21;34;TOWER
20;34;POLE
21;34;BANT
21;34;TOWER
20;34;POLE
20;33;POLE
20;33;MAST
21;34;TOWER
91;46;N/A
91;46;N/A
91;46;N/A
91;46;N/A
91;46;N/A
91;45;N/A
90;46;N/A
91;46;N/A
91;46;N/A
91;45;N/A
90;46;N/A
91;46;N/A
91;45;TOWER
79;40;TOWER
78;41;TOWER
77;40;TOWER
79;41;TOWER
77;40;MAST
78;40;TOWER
79;40;TOWER
78;40;MAST
78;42;TOWER
78;43;TOWER
77;43;TOWER
77;42;TOWER
77;43;MAST
77;41;TOWER
77;41;TOWER
78;41;TOWER
78;40;MAST
79;41;MAST
78;42;POLE
78;41;MAST
78;42;TOWER
78;42;MAST
78;42;TOWER
78;41;TOWER
78;41;TOWER
79;42;POLE
78;42;TOWER
78;40;MAST
77;40;TOWER
78;43;TOWER
78;40;TOWER
77;41;TOWER
77;40;TOWER
77;41;MAST
77;43;MAST
79;41;POLE
78;43;TOWER
78;42;TOWER
77;41;TOWER
64;53;TOWER
64;53;TOWER
64;53;N/A
64;52;TOWER
64;53;TOWER
64;53;TOWER
64;53;TOWER
65;54;MAST
96;51;MAST
